variable1,variable2
0.63572,0.41354
0.42105,0.42683
1.5247,1.508
2.8249,2.4633
0.41366,0.59518
3.2439,1.652
0.55824,0.69074
0.99236,0.70283
1.2144,2.2414
3.626,3.3414
1.5421,1.5766
0.95921,3.0536
6.6399,8.8333
5.6488,1.4266
1.3704,0.67248
0.27236,0.47382
0.65836,0.2285
0.66859,1.6309
3.4116,1.5093
1.3273,0.38705
0.82289,0.63988
0.91141,0.99153
0.5492,0.44224
1.0884,0.42294
1.4471,0.44577
0.98142,0.30391
0.21485,0.38797
4.2106,3.0787
2.1184,2.1461
1.3574,1.2916
1.0109,2.1289
1.479,0.84999
1.1663,1.1472
0.25358,0.56379
0.15267,0.45691
0.85265,1.9442
24.891,3.074
0.73505,0.78928
0.76732,1.2289
0.60928,0.3991
2.7734,1.0725
0.49597,0.27196
0.23801,0.28617
2.3407,1.5988
0.71875,1.0664
1.2788,3.2825
3.5748,2.1031
6.4569,19.413
4.3671,2.1187
1.1627,0.66477
0.23187,0.32248
0.15014,0.96007
5.0626,5.189
3.4836,2.1382
1.3458,2.7315
0.91344,0.39181
0.43635,0.50958
1.6084,1.3494
1.3774,1.4043
0.47776,0.22522
2.1295,0.64011
0.74357,0.6394
2.5763,1.6919
1.1147,0.56245
0.28107,3.2903
1.3847,0.63743
1.3644,0.38814
0.23507,0.58591
1.3401,0.91046
1.4095,1.1682
2.131,1.2238
0.29299,0.4418
1.5291,0.46248
0.57009,0.26649
9.22,1.7019
0.97296,2.0126
0.72225,1.2778
0.54766,0.2215
0.46371,0.42582
0.62985,0.41359
2.3021,0.30296
1.8951,3.8686
2.837,1.3571
1.2381,2.2195
0.45944,0.21268
4.0352,2.8814
0.57593,1.1235
1.6013,3.3311
3.55,2.484
0.91859,1.5746
1.3541,1.7583
1.2337,0.99011
0.29491,0.40369
2.8987,1.2615
0.53388,1.1295
0.31264,0.78529
0.50787,2.0423
1.7162,1.423
0.56426,0.50254
3.4142,1.7613
2.0233,3.5222
0.31512,0.20527
0.98004,0.49911
3.1017,1.2043
7.8635,4.1048
1.0276,0.20742
0.30016,0.40978
0.62764,0.63419
0.3092,0.46223
1.2829,0.2272
0.65611,0.9544
0.39055,0.12826
0.74083,0.20082
0.13208,0.63247
0.48188,0.091521
38.956,3.8719
0.11816,0.38249
4.1429,3.1745
0.56865,0.35485
0.23302,0.9082
0.49893,0.41397
1.874,0.28147
2.5054,1.4322
0.44991,1.6307
0.17849,0.23076
0.56033,0.96335
0.34812,0.29032
0.66627,0.9793
0.68069,0.35723
0.23011,0.29576
0.5746,0.51365
6.453,2.5072
2.4847,2.4106
0.92387,0.49624
0.22118,0.46843
0.88788,0.41708
0.96501,1.6427
0.6231,0.8548
1.0877,1.5823
2.459,1.6058
0.7966,0.82131
0.85523,0.45813
0.40811,0.75547
3.1556,7.0037
1.957,8.4595
0.6265,0.077336
0.14606,0.56522
0.57206,0.91555
0.35745,0.2638
5.1014,22.729
0.86586,0.90805
2.3531,1.5871
1.8387,1.4092
2.3287,0.55041
1.3029,1.0787
0.36473,0.7894
2.8065,1.9961
0.87641,1.2351
1.8239,3.3246
1.2242,0.56169
0.51807,0.42267
1.9804,3.4431
1.0009,0.28724
0.71021,1.859
0.48327,0.52282
0.2835,0.12457
0.55124,0.93122
0.36439,0.98192
2.4011,0.4632
7.0021,2.8432
0.98757,1.2837
0.089887,0.09532
1.7956,3.2121
0.12306,0.31492
2.2546,1.8755
0.61716,0.33207
0.56594,3.3612
2.2843,0.9534
0.56469,0.59078
1.01,0.41983
0.46729,0.37087
0.36551,1.0718
7.4346,5.7526
1.2375,0.51043
1.982,1.8045
0.79318,1.1799
5.4127,1.7158
2.4893,0.42657
1.643,1.6966
0.75857,0.66923
1.5773,0.73754
0.31653,0.84955
0.43699,1.4804
2.959,1.5234
2.1887,1.7049
0.41915,0.90026
1.8797,1.4508
1.128,2.4206
0.93898,1.7233
0.30366,0.32176
0.87834,2.5242
7.4867,0.9638
2.1573,0.82438
3.904,1.7584
0.82424,0.61029
0.15106,0.84411
0.19603,1.2077
0.51507,1.4794
3.4414,0.30001
1.3588,0.97632
0.95516,1.6421
1.7373,1.8361
0.37773,1.4458
0.88858,0.8676
1.0469,1.3545
0.83651,2.0921
1.6348,2.0867
24.505,10.271
0.16188,0.17134
0.53124,1.4654
0.31351,0.1519
3.1619,2.3152
1.6434,1.305
0.54354,0.27422
0.74495,3.0979
1.9776,7.2754
0.29782,1.0797
0.29959,0.33546
2.8192,0.84217
1.6327,1.0596
3.0671,1.3826
1.1841,0.52999
0.65022,4.0875
0.25416,0.24909
0.53688,1.3956
0.64822,1.2569
2.4813,8.6981
0.52829,1.0201
1.3828,1.835
0.99054,0.53462
1.4764,0.35066
2.5132,3.2783
0.33728,0.42963
1.5091,2.2815
0.91999,1.0831
1.0298,5.8575
1.039,0.94306
2.8914,9.0091
0.72306,0.72755
0.35143,0.62358
0.14837,0.98105
1.6897,1.5204
0.51642,0.11381
1.0352,0.92118
1.0387,2.367
0.25737,0.41509
1.3165,0.97075
0.72892,0.68574
2.6775,1.3919
7.2459,1.1623
0.15992,0.17495
0.42065,0.36331
0.3227,0.23695
0.14196,0.59061
0.35981,0.33236
1.5971,1.7214
0.52663,0.63326
0.59413,0.28433
1.0632,2.9152
0.76758,0.6421
0.21019,0.15221
1.0054,0.24308
1.3844,0.70176
0.33709,0.47515
0.84526,1.2336
0.88642,1.3404
4.5628,2.947
3.6847,3.9525
0.38445,1.1028
0.26653,2.0965
0.88388,1.3731
4.2,1.612
0.25425,0.47834
0.46854,0.62571
0.55004,1.0263
1.5465,0.87191
1.5007,1.5813
1.2254,3.1485
0.27035,0.37302
0.12456,0.28288
0.23234,0.47705
0.81268,0.95459
0.68255,1.6062
1.3113,0.13192
1.7895,1.3453
0.32981,0.60547
0.18547,0.32015
1.287,1.0488
0.72805,0.62205
2.2687,0.51987
2.9215,3.9723
0.76005,2.0794
0.88295,0.72493
0.293,0.20377
1.2941,1.2093
1.0428,2.1772
0.41585,0.30712
2.5651,7.2239
3.9483,0.62971
1.3246,1.2753
1.0908,0.22285
0.5415,1.3573
1.8654,0.38305
1.8455,0.27232
5.4349,1.5556
0.50306,0.25584
2.6377,2.4395
0.18947,0.30963
0.84315,0.38791
1.2016,0.89217
1.4664,0.88581
0.66369,0.62418
2.1117,0.63162
1.8028,1.0564
2.1357,4.2
3.9709,7.9341
0.90818,0.21894
0.32806,0.38109
0.38355,1.4543
0.42141,0.28881
1.4819,0.95794
1.1694,2.7511
3.6854,1.2727
0.62182,4.1784
0.97499,0.94766
0.23994,0.42943
0.60556,0.25446
6.6148,5.6266
0.24927,0.62412
0.74821,0.56966
0.86784,0.31335
1.6587,2.7934
0.5039,0.48136
1.3511,3.0726
0.61062,0.59014
1.9266,0.40012
0.69373,0.36453
0.58309,0.74667
0.13764,0.25541
0.78246,1.5128
3.1898,1.7891
1.5956,1.8353
3.4333,2.8524
1.5497,1.8222
4.1602,1.0729
1.0977,1.2212
1.2977,0.52523
0.89973,2.197
0.33701,0.84659
0.70761,2.1711
0.92,0.4137
0.69656,0.45643
1.3985,1.7244
1.0603,0.49518
1.1412,1.7871
3.0752,1.4565
0.53824,0.58347
1.6329,0.68073
0.82379,0.5059
0.95108,2.175
1.353,4.0641
0.44983,0.10288
3.3573,1.8967
4.4112,2.1311
0.71748,0.20305
1.233,0.8601
0.88507,0.45279
0.20197,0.42037
0.17979,0.39794
0.91802,1.3921
0.84938,0.64769
0.71306,0.6881
0.24695,0.47707
1.3921,3.6012
0.70883,0.28563
2.7104,1.4326
0.56849,0.55339
0.3756,0.17627
1.4261,0.66887
1.9547,2.296
0.38201,0.43502
0.66532,1.1332
0.74791,1.7234
0.45072,0.54732
0.14059,0.45047
2.704,3.55
0.79081,0.40778
2.9915,1.4277
0.50303,0.67066
2.5853,1.2027
0.30424,0.494
9.1375,1.6669
0.23761,0.21674
1.053,1.574
1.2975,0.59482
0.50918,0.93451
0.63503,0.78315
0.93265,0.4151
0.23935,0.21556
0.59072,1.1082
0.28412,0.80819
0.28444,0.36313
2.1296,1.4176
1.5703,0.50983
1.7028,1.3214
1.4771,0.83417
0.77914,0.2878
1.5361,1.1906
0.41639,0.59833
1.2721,0.2236
1.6593,0.33725
0.27153,1.3946
0.10933,0.24841
0.38175,0.18537
0.52336,0.6216
1.4406,0.58425
0.87114,1.523
0.29949,3.7425
1.189,1.4754
1.1555,1.3572
1.9181,1.9874
0.74354,1.4607
2.4515,4.4674
1.1206,0.89576
2.4369,0.84972
4.2119,3.8844
0.69623,0.68937
1.9785,0.15607
0.51197,1.6112
0.31924,0.22716
2.1364,2.0415
0.59775,3.2736
1.1585,1.2405
1.565,0.36649
2.3766,1.6024
3.6161,1.8461
1.5579,0.81384
0.28253,0.57294
2.172,13.03
9.7504,35.993
2.7713,1.2565
0.87691,0.17192
0.15587,0.20692
9.9658,2.02
0.1666,0.21272
1.1986,0.22735
4.2782,3.4209
0.17872,0.23362
0.4909,0.55732
0.35939,0.40566
1.0876,0.51026
0.57049,1.0398
1.4646,1.7825
0.91086,0.33548
1.4671,3.1055
0.60168,1.0762
1.2766,0.73491
2.4911,2.9793
6.1573,2.3502
2.5407,0.71396
0.18374,1.1739
0.59016,0.74125
1.2211,0.69904
0.08677,0.29821
0.31103,0.46434
1.0474,5.7256
3.7593,2.0778
0.73086,2.2936
1.5175,0.48134
0.87352,1.0234
1.0355,2.122
3.131,0.88177
0.23109,0.53456
0.71536,0.24991
0.56213,0.42222
1.3015,1.4618
4.1346,2.9993
1.9573,0.47029
0.68655,0.6924
0.48287,0.85148
1.5975,2.6854
0.22808,0.18929
0.67243,0.37937
0.3852,1.7533
2.983,1.6172
0.59947,0.40717
0.97444,0.72154
1.7394,1.4567
0.61587,1.9546
1.5399,6.3261
1.1155,0.81355
0.6052,1.0706
2.5387,5.4248
2.8214,0.61398
0.73333,1.8161
1.0642,0.23502
0.86112,1.0868
0.16904,0.38619
0.28203,0.75237
0.98399,0.17803
2.0624,0.4838
2.088,1.9486
1.7958,1.907
1.8158,1.2742
0.26117,0.12771
1.9141,0.62048
0.57048,0.88877
0.62394,2.2804
2.5267,2.4371
7.2637,6.3309
0.29764,2.1223
0.63124,0.83687
0.43154,1.147
1.1634,2.3155
0.45674,0.29708
1.717,0.9248
2.4997,1.5508
1.1749,4.5955
7.8663,2.4282
0.34163,3.3785
2.4331,7.879
0.75518,0.666
3.3091,2.5625
1.1487,2.9655
1.3714,4.201
1.6591,1.1246
0.091202,0.051478
9.689,3.2063
0.87748,0.68499
0.89435,2.7838
1.3379,1.4185
0.92043,0.67313
1.3622,2.3504
0.39652,0.17461
0.3993,0.30103
1.8771,3.0181
0.82859,0.34565
4.9986,6.3279
0.47669,1.0154
0.91407,2.502
0.53963,0.1815
1.316,0.49443
1.2482,4.913
1.3049,3.2342
1.1897,3.1116
0.54755,1.9336
1.2909,0.37944
1.0426,2.7259
0.40749,0.37228
1.4629,2.6459
1.9128,2.8141
1.8195,1.5158
1.1054,0.93023
4.7813,2.4062
1.2791,0.26673
2.4761,0.49812
0.30717,0.89387
0.6369,1.1517
0.2724,0.10739
1.1535,0.28571
0.77591,0.53982
0.8154,0.60419
1.0563,0.71845
0.93688,2.1128
3.8545,2.0296
1.0632,0.68618
1.9009,1.4321
0.41589,0.35749
0.33389,0.96625
0.33783,0.20366
0.73973,0.57414
0.95018,0.45117
0.19621,0.35649
1.2658,0.55639
0.66441,1.3693
0.53199,1.342
0.44237,2.182
0.27203,0.35386
7.8318,9.2345
0.92782,0.33947
0.76037,0.57426
0.2109,0.11016
0.55324,0.50206
0.95089,1.418
2.1287,2.3265
0.62004,0.31475
1.4391,0.85058
9.3519,1.0132
1.1103,2.8775
1.057,0.66753
0.53882,0.91035
1.1186,1.0933
0.76227,1.7802
1.2596,1.5585
1.1452,0.42787
0.25127,0.4164
0.84271,0.5269
1.7094,0.84714
1.4468,1.3525
2.2283,3.729
0.27304,2.3932
0.26837,0.35116
0.67238,1.2799
3.5626,0.51388
2.568,1.0115
5.3957,5.2646
7.1756,4.082
10.165,12.944
0.1299,0.49219
5.1171,4.2983
0.89166,0.70194
0.76977,0.68756
2.0853,0.56464
0.373,0.54293
2.5979,1.5628
0.49929,0.93652
1.0607,5.3592
0.088157,0.77027
0.41961,1.4256
0.80869,0.24518
0.31848,0.3854
0.31684,0.15131
0.35113,0.95228
1.435,1.5691
0.34354,0.84875
1.4864,0.57322
1.9932,1.1802
1.2198,0.77377
0.54321,2.0871
0.18902,0.53733
2.6025,0.44468
0.34604,0.32384
0.93,0.77442
4.6707,2.9004
0.78142,0.44442
1.4741,2.4712
1.0935,0.161
1.8298,3.358
0.81672,0.44365
0.55245,1.4001
7.0676,3.732
2.1176,2.4918
1.4504,0.52697
2.1157,1.6421
0.35798,0.56403
0.5813,3.7052
0.76744,0.31013
2.0515,4.2163
0.51207,0.41018
1.6806,0.9839
0.82144,0.98523
0.41567,0.35663
0.37031,0.97584
0.71263,1.0886
0.22295,0.30722
0.86719,0.38056
0.43458,0.48236
0.23262,0.81461
0.87362,0.68372
1.7271,2.0914
1.8492,0.89358
0.51218,0.65581
1.1629,0.34911
1.7234,1.172
0.097963,0.91778
0.64209,2.7688
1.9216,3.9272
0.92115,0.71159
0.19731,0.10726
2.0762,1.1933
0.32208,0.42876
2.6945,8.4912
1.0155,0.65616
0.63692,1.4644
0.23845,0.52706
5.4305,2.419
2.1713,0.84171
0.87786,2.3878
2.116,4.3996
5.0206,1.8467
0.50757,0.093213
3.5702,3.2537
0.56165,0.37373
2.4644,1.6427
0.65762,0.81366
0.15534,0.58486
0.83397,1.0643
1.1634,0.65629
0.29291,0.59456
0.24689,0.30003
4.4781,0.94268
1.0343,1.5389
0.13986,0.2019
0.47576,0.28824
1.1777,2.9168
1.271,1.6063
0.38672,0.95732
3.2434,9.6209
1.2491,9.2298
1.5972,1.8556
0.47263,1.0864
0.56734,0.3699
2.573,5.3382
0.37587,0.43097
0.33571,0.35877
1.0249,2.1149
4.4494,2.9357
1.0426,0.46139
1.0361,0.69781
1.6012,0.46212
0.9825,0.2487
0.35352,0.13498
2.2034,0.26364
2.9675,8.5779
0.60876,1.3601
0.90865,2.2011
0.54136,0.79495
1.1351,1.165
2.8425,6.4291
5.4945,1.8203
0.43031,1.0195
0.316,0.34134
0.19712,1.948
0.14081,0.27176
5.0943,4.8339
3.0701,1.8315
0.55609,0.58955
0.356,0.14593
0.43399,1.366
0.69024,6.1815
3.3325,3.7504
0.29107,0.069679
0.78177,0.89206
0.99655,1.0538
0.77256,0.22969
3.5445,3.1864
0.62764,1.4492
2.72,3.1267
0.39668,0.44242
0.31512,0.59095
0.6544,0.63274
0.37719,2.9215
1.9282,2.9609
0.82936,0.58415
1.0468,0.87556
0.28456,0.31406
1.4932,4.1467
1.0187,7.8296
1.2731,0.5661
0.62989,0.86022
1.2703,0.88666
1.3969,1.0363
4.3576,6.8654
0.20283,0.55725
0.66503,0.71342
2.6355,11.258
1.8371,4.5155
0.55191,0.96548
3.8627,1.6813
0.44732,0.86093
0.43985,1.7033
0.45747,1.221
1.0786,0.28209
0.31384,0.87152
4.7842,2.2956
0.30559,0.11436
0.11235,0.23218
0.63493,0.87868
1.3694,0.46413
2.2888,1.4138
1.4751,2.1584
8.4173,0.94924
0.93686,2.0252
0.1817,2.2146
0.27442,0.19878
0.63724,0.43213
0.84142,8.619
0.29273,0.36358
1.332,1.5008
0.26356,0.77232
3.6353,0.55271
0.90154,1.7365
0.97801,3.5135
0.95176,0.79886
2.0446,1.3646
0.90507,0.61572
0.21741,0.96664
0.91104,1.3733
3.4757,0.7293
0.073585,0.57889
2.8627,2.1762
1.2296,0.96532
0.34398,2.3569
3.9605,4.6068
0.70317,0.67416
0.98695,2.1368
