SampleLogFunc,mean,logStd
-14933.960,-.24350111E-01,-.15817637E-01
-14933.960,-.24350111E-01,-.15817637E-01
-14934.277,-.72445533E-02,-.13890098E-02
-14935.236,.88087293E-02,.73091877E-02
-14934.188,-.48520930E-02,-.42685298E-02
-14936.867,-.43241712E-01,-.37271477E-01
-14936.089,-.29178959E-01,-.26162096E-02
-14933.976,-.21750949E-01,-.15365587E-01
-14935.932,-.32655522E-01,-.52979530E-02
-14934.358,-.27565646E-01,-.97024527E-02
-14936.382,-.13244307E-01,.64823719E-02
-14936.679,-.61496615E-01,-.34117809E-01
-14935.027,-.46825698E-01,-.25525849E-01
-14935.448,.13764616E-01,.72810885E-02
-14936.339,.21844729E-01,.12826459E-01
-14934.059,-.23482493E-01,-.17172433E-01
-14934.787,.60460473E-02,.14398669E-02
-14936.059,-.40769890E-02,-.16602346E-01
-14934.050,-.20697095E-01,-.15935244E-01
-14934.149,-.18828172E-01,-.16039125E-01
-14935.791,-.54473449E-01,-.30063306E-01
-14934.888,-.71737427E-02,-.13748508E-01
-14934.846,-.38547915E-01,-.27175099E-01
-14933.941,-.24819094E-01,-.15270669E-01
-14933.941,-.24819094E-01,-.15270669E-01
-14934.847,-.21668357E-02,.40923019E-02
-14933.911,-.23244976E-01,-.12791330E-01
-14935.263,-.27847111E-01,-.26399679E-01
-14934.433,-.21598113E-01,-.19536940E-01
-14935.022,.89704821E-02,.41030736E-02
-14934.566,-.32209928E-02,.18630135E-02
-14935.477,-.51587144E-01,-.28326672E-01
-14937.083,-.16558894E-01,-.26903063E-01
-14936.547,.24627933E-01,.80924188E-02
-14936.574,-.59005969E-01,-.26445449E-01
-14934.545,-.23261535E-01,-.20976044E-01
-14934.897,-.98341290E-02,-.15549567E-01
-14935.176,-.34108355E-01,-.93964848E-02
-14935.765,-.46030384E-01,-.16168012E-01
-14934.135,-.64093527E-02,-.42008142E-02
-14934.200,-.13593766E-01,-.36890709E-02
-14937.271,.61710130E-02,.16186530E-01
-14936.710,-.41252613E-01,-.84606969E-02
-14934.792,-.32341392E-01,-.10172859E-01
-14935.267,-.49338104E-01,-.25201571E-01
-14936.332,-.29512718E-01,-.20255255E-02
-14934.236,-.27192080E-01,-.10477998E-01
-14935.108,-.18113713E-01,-.21275106E-01
-14935.615,-.94640710E-02,.54626996E-02
-14935.510,-.50939810E-01,-.24137913E-01
-14934.392,-.37621124E-01,-.19499617E-01
-14934.677,-.13461279E-01,-.33322312E-03
-14934.035,-.12702190E-01,-.10858453E-01
-14935.049,-.23003993E-01,-.23409847E-01
-14934.749,-.11649680E-01,-.15923935E-01
-14934.630,-.40337682E-01,-.24782857E-01
-14934.120,-.31922719E-01,-.18370411E-01
-14934.294,-.35929096E-01,-.19148652E-01
-14934.780,.84163028E-03,.39605900E-02
-14933.942,-.13225552E-01,-.83484222E-02
-14934.316,-.15040488E-01,-.32684898E-02
-14934.403,-.69725390E-03,-.69440172E-03
-14934.476,.27057439E-03,.35354641E-03
-14934.861,-.42424998E-01,-.18922719E-01
-14934.026,-.20552332E-01,-.15572033E-01
-14933.925,-.22653402E-01,-.11618729E-01
-14934.252,-.14962514E-01,-.37394467E-02
-14934.812,-.21294310E-02,.38712224E-02
-14937.174,-.31181781E-02,.12867863E-01
-14934.658,-.37414765E-01,-.15323943E-01
-14934.030,-.11467756E-01,-.96779610E-02
-14934.520,-.13789675E-01,-.13808441E-02
-14934.159,-.18309099E-01,-.15853720E-01
-14934.127,-.32086936E-01,-.18500767E-01
-14934.455,-.42198937E-02,-.85325746E-02
-14934.627,-.99811089E-02,.66551173E-03
-14934.654,-.35517823E-01,-.13599959E-01
-14934.514,-.25889759E-01,-.21864432E-01
-14936.193,.21941689E-01,.85315609E-02
-14934.646,.38406864E-02,-.54866816E-03
-14934.965,-.67716109E-02,-.13870291E-01
-14934.874,.16987874E-02,.47534221E-02
-14934.548,.22242510E-02,-.14461206E-02
-14934.242,-.30795354E-01,-.21049263E-01
-14934.622,-.26535856E-01,-.72671064E-02
-14934.663,-.36842679E-01,-.25629908E-01
-14935.138,.90253107E-02,-.77300263E-03
-14935.138,.90253107E-02,-.77300263E-03
-14934.043,-.17273216E-01,-.14072831E-01
-14935.577,-.52610639E-01,-.28343524E-01
-14934.289,-.34880187E-01,-.21316686E-01
-14935.185,.88834150E-02,-.15077403E-02
-14934.082,-.30966317E-01,-.17133245E-01
-14935.160,-.40644405E-01,-.14675130E-01
-14934.664,-.12525880E-01,-.35385114E-04
-14934.002,-.24184450E-01,-.16597631E-01
-14934.338,-.11964612E-01,-.19736617E-02
-14934.334,-.31053502E-01,-.12524124E-01
-14933.963,-.25836993E-01,-.15928110E-01
-14933.989,-.27227522E-01,-.16518151E-01
-14935.341,-.19233946E-01,-.22801480E-01
-14934.305,-.28874693E-01,-.21314105E-01
-14934.631,-.19743920E-01,-.19815710E-01
-14935.374,.12812436E-02,-.10028235E-01
-14934.047,-.14944385E-01,-.57973685E-02
-14936.103,.18657868E-01,.27564600E-02
-14933.971,-.12615279E-01,-.93421079E-02
-14935.771,-.35305662E-01,-.31106733E-01
-14934.440,-.38561062E-01,-.21895587E-01
-14934.170,-.32073128E-01,-.15704310E-01
-14935.394,-.22596458E-01,-.14060950E-02
-14934.242,-.65630002E-02,-.83398284E-02
-14934.784,-.33337551E-02,.34528663E-02
-14935.374,.81207269E-02,-.39923869E-02
-14935.411,-.13715603E-01,-.20117459E-01
-14933.961,-.23315734E-01,-.11219672E-01
-14934.712,-.13586558E-02,.32596808E-02
-14934.669,-.33557674E-01,-.25192461E-01
-14934.911,-.44913094E-01,-.26209429E-01
-14934.066,-.28224299E-01,-.18343718E-01
-14934.550,-.18728855E-02,-.72486728E-02
-14934.295,-.14401896E-01,-.14748698E-01
-14934.451,-.37715779E-01,-.18163944E-01
-14935.615,-.49397070E-01,-.20725175E-01
-14934.355,-.23410123E-02,-.51974512E-02
-14934.913,-.10159053E-01,-.15835307E-01
-14934.343,-.35556645E-01,-.16998905E-01
-14935.022,-.18382630E-01,-.21043220E-01
-14935.277,.86905912E-02,-.26214607E-02
-14934.795,-.15944052E-01,-.18674730E-01
-14935.725,-.24523978E-01,-.12138156E-02
-14936.255,-.58389979E-01,-.29919321E-01
-14934.501,-.23335205E-01,-.20740626E-01
-14934.222,-.13950083E-01,-.13862844E-01
-14934.390,-.10599665E-01,-.12991092E-01
-14933.989,-.13420582E-01,-.10612542E-01
-14935.608,-.52631884E-01,-.26458782E-01
-14934.580,.28694799E-02,-.35683187E-03
-14934.050,-.25353016E-01,-.11234713E-01
-14934.156,-.28498293E-01,-.19697843E-01
-14934.519,-.38224634E-01,-.23980799E-01
-14934.163,-.23587549E-01,-.87757890E-02
-14934.033,-.10783043E-01,-.90357695E-02
-14936.020,-.47621698E-01,-.34759748E-01
-14938.354,-.44419552E-01,-.59319670E-02
-14936.483,-.56173042E-01,-.36690732E-01
-14934.169,-.70539154E-02,-.76983978E-02
-14933.921,-.14962634E-01,-.85433955E-02
-14933.942,-.13278724E-01,-.85472517E-02
-14934.586,-.39602852E-01,-.24446829E-01
-14935.715,-.32391249E-01,-.29906178E-01
-14934.121,-.70899374E-02,-.40695268E-02
-14934.410,-.27559739E-01,-.21761267E-01
-14934.289,-.48754860E-02,-.11882871E-02
-14935.950,.17525904E-01,.25971650E-02
-14935.336,-.18819437E-02,-.12228227E-01
-14936.209,-.49863480E-01,-.35804762E-01
-14934.116,-.10529468E-01,-.38174740E-02
-14935.133,-.48044300E-01,-.26137511E-01
-14936.125,-.51500782E-01,-.35300918E-01
-14935.348,-.51867992E-02,-.14595883E-01
-14935.609,-.16083847E-01,.26287168E-02
-14934.656,-.42023096E-01,-.22324896E-01
-14933.940,-.15538353E-01,-.78491852E-02
-14933.940,-.15538353E-01,-.78491852E-02
-14934.393,-.90034466E-02,-.11876401E-01
-14934.206,-.12364469E-01,-.12666692E-01
-14934.848,-.38734048E-02,-.11145812E-01
-14933.933,-.21980349E-01,-.14589087E-01
-14934.569,-.22881115E-01,-.54287421E-02
-14934.827,.50415378E-02,.38236887E-02
-14934.927,-.38948912E-01,-.27786631E-01
-14935.006,-.19288280E-01,-.13305357E-02
-14933.961,-.15473974E-01,-.11651520E-01
-14934.847,-.22843342E-01,-.39237104E-02
-14934.163,-.22188713E-01,-.17757507E-01
-14933.898,-.20878129E-01,-.13118412E-01
-14933.898,-.20878129E-01,-.13118412E-01
-14933.898,-.20878129E-01,-.13118412E-01
-14934.901,-.35602811E-01,-.27105713E-01
-14934.901,-.35602811E-01,-.27105713E-01
-14935.056,-.14602966E-01,.10672615E-02
-14934.455,-.37190269E-01,-.23367817E-01
-14934.455,-.37190269E-01,-.23367817E-01
-14940.041,.26587871E-01,.28607949E-01
-14937.177,-.45107030E-01,-.97757232E-02
-14934.632,-.37099278E-01,-.25367210E-01
-14934.632,-.37099278E-01,-.25367210E-01
-14934.632,-.37099278E-01,-.25367210E-01
-14934.632,-.37099278E-01,-.25367210E-01
-14934.632,-.37099278E-01,-.25367210E-01
-14934.632,-.37099278E-01,-.25367210E-01
-14934.230,-.34396529E-01,-.20039454E-01
-14934.361,-.84077351E-02,-.11168429E-01
-14934.082,-.10666115E-01,-.98633347E-02
-14934.082,-.10666115E-01,-.98633347E-02
-14935.727,-.53590421E-01,-.26518759E-01
-14935.128,.27698101E-02,-.74254842E-02
-14935.604,-.46392748E-02,.71582544E-02
-14935.604,-.46392748E-02,.71582544E-02
-14935.185,-.37331247E-01,-.11756715E-01
-14934.607,-.36103301E-01,-.25106671E-01
-14934.851,-.23599713E-02,-.99901058E-02
-14935.785,.17394155E-01,.45736130E-02
-14935.785,.17394155E-01,.45736130E-02
-14934.421,-.38022725E-01,-.22112409E-01
-14934.421,-.38022725E-01,-.22112409E-01
-14934.657,-.40593117E-01,-.19051818E-01
-14934.657,-.40593117E-01,-.19051818E-01
-14934.115,-.17995779E-01,-.62469632E-02
-14933.926,-.21283112E-01,-.10640192E-01
-14935.504,-.36597388E-01,-.30400021E-01
-14934.460,-.73453547E-02,-.11162880E-01
-14934.299,-.24933151E-01,-.84447490E-02
-14934.299,-.24933151E-01,-.84447490E-02
-14934.476,-.59433492E-02,.69801749E-03
-14934.362,-.68720843E-02,-.46531074E-03
-14934.538,-.89460728E-02,.42046350E-03
-14933.923,-.23928600E-01,-.12878028E-01
-14935.065,.82148793E-02,-.10196892E-02
-14933.934,-.14513850E-01,-.10059831E-01
-14933.934,-.14513850E-01,-.10059831E-01
-14933.934,-.14513850E-01,-.10059831E-01
-14935.513,.14725120E-01,.73023936E-02
-14934.691,-.45379476E-02,-.10661468E-01
-14934.710,-.30372846E-01,-.92636011E-02
-14934.112,-.31276319E-01,-.18743926E-01
-14934.112,-.31276319E-01,-.18743926E-01
-14934.112,-.31276319E-01,-.18743926E-01
-14936.060,.10650076E-01,.12614713E-01
-14933.977,-.11772720E-01,-.84082295E-02
-14934.259,-.19532111E-01,-.17319799E-01
-14935.862,-.48890206E-01,-.18460404E-01
-14935.403,-.42545534E-01,-.14951129E-01
-14934.001,-.28080153E-01,-.15042391E-01
-14934.001,-.28080153E-01,-.15042391E-01
-14934.568,-.31696757E-01,-.24067756E-01
-14934.163,-.26656789E-01,-.10821921E-01
-14934.163,-.26656789E-01,-.10821921E-01
-14933.989,-.18524132E-01,-.80088247E-02
-14934.207,-.28788965E-01,-.20334274E-01
-14934.609,.30547068E-02,-.15187850E-02
-14934.124,-.15321547E-01,-.13798999E-01
-14934.830,-.42478911E-01,-.19370918E-01
-14934.739,-.95530736E-02,-.14531670E-01
-14934.019,-.10295049E-01,-.79717435E-02
-14934.348,-.36141581E-01,-.21897273E-01
-14934.997,.75359941E-02,.50128138E-02
-14935.140,.25411911E-02,-.77021727E-02
-14935.140,.25411911E-02,-.77021727E-02
-14934.062,-.19982513E-01,-.15733818E-01
-14934.062,-.19982513E-01,-.15733818E-01
-14933.898,-.16874099E-01,-.10669357E-01
-14934.366,-.35209124E-01,-.22543597E-01
-14933.887,-.19812000E-01,-.11433384E-01
-14934.520,-.16615511E-01,-.25756682E-02
-14934.636,-.15527034E-03,.26437046E-02
-14935.114,.44130917E-02,-.58217227E-02
-14935.261,-.39313551E-01,-.12948303E-01
-14933.951,-.15741807E-01,-.11643112E-01
-14934.069,-.18804833E-01,-.71145403E-02
-14934.069,-.18804833E-01,-.71145403E-02
-14934.069,-.18804833E-01,-.71145403E-02
-14934.366,-.32641074E-01,-.22579027E-01
-14934.372,-.15610840E-01,-.16025788E-01
-14934.372,-.15610840E-01,-.16025788E-01
-14934.041,-.15595633E-01,-.13022189E-01
-14938.425,-.68660697E-01,-.44128773E-01
-14938.425,-.68660697E-01,-.44128773E-01
-14936.116,-.55405727E-01,-.24848058E-01
-14936.116,-.55405727E-01,-.24848058E-01
-14938.761,-.19833663E-02,.17268805E-01
-14934.356,-.92398256E-02,-.11753014E-01
-14934.284,-.12199133E-01,-.24848507E-02
-14934.284,-.12199133E-01,-.24848507E-02
-14935.116,-.43990283E-01,-.18347670E-01
-14935.128,-.34296431E-01,-.97650968E-02
-14935.128,-.34296431E-01,-.97650968E-02
-14937.072,-.43785273E-01,-.91279294E-02
-14936.020,-.49206790E-01,-.17888952E-01
-14934.151,-.23334599E-01,-.18116915E-01
-14935.992,.17081539E-01,.15902131E-02
-14933.958,-.15423178E-01,-.11557783E-01
-14934.470,-.39034817E-01,-.20324857E-01
-14935.308,.88933382E-02,-.26498688E-02
-14935.308,.88933382E-02,-.26498688E-02
-14935.733,-.53123383E-02,.74366545E-02
-14935.733,-.53123383E-02,.74366545E-02
-14934.533,-.13750838E-02,-.65677086E-02
-14937.425,-.99973604E-02,.10813176E-01
-14934.007,-.22268927E-01,-.16048325E-01
-14934.519,-.96954617E-02,.67800231E-04
-14934.902,-.23764716E-01,-.23077148E-01
-14937.530,.31061263E-01,.87403436E-02
-14939.385,.85852491E-02,.22400908E-01
-14935.227,-.39043947E-01,-.12910297E-01
-14935.227,-.39043947E-01,-.12910297E-01
-14934.148,-.72341100E-02,-.32880116E-02
-14936.151,.40380372E-02,-.11295151E-01
-14935.247,-.21490282E-01,-.14132281E-02
-14935.661,-.31708696E-01,-.29456964E-01
-14935.099,-.30085910E-01,-.70355226E-02
-14938.050,.79764415E-02,-.14415927E-01
-14934.240,-.32555337E-01,-.15025911E-01
-14934.914,-.40718941E-02,.40737036E-02
-14934.185,-.63878352E-02,-.72197345E-02
-14934.261,-.23178183E-01,-.19012050E-01
-14933.922,-.16238165E-01,-.11236491E-01
-14937.968,.13799850E-01,-.99672155E-02
-14934.941,-.28993999E-01,-.70950564E-02
-14933.965,-.13145050E-01,-.97381688E-02
-14938.801,.41985565E-01,.20444242E-01
-14937.399,-.61359787E-01,-.40843212E-01
-14938.454,-.39889222E-01,-.40571054E-01
-14936.749,.26177797E-01,.13957335E-01
-14935.992,.11875748E-01,-.40899748E-02
-14935.842,.29997666E-02,-.10839327E-01
-14934.533,-.26720457E-01,-.22293105E-01
-14934.533,-.26720457E-01,-.22293105E-01
-14936.725,.16145230E-01,.16207359E-01
-14934.071,-.93156888E-02,-.82715435E-02
-14934.071,-.93156888E-02,-.82715435E-02
-14934.071,-.93156888E-02,-.82715435E-02
-14934.160,-.56438214E-02,-.40516799E-02
-14934.250,-.72770098E-02,-.17091991E-02
-14934.250,-.72770098E-02,-.17091991E-02
-14934.250,-.72770098E-02,-.17091991E-02
-14934.250,-.72770098E-02,-.17091991E-02
-14936.136,.19831579E-01,.42141662E-02
-14934.111,-.74214830E-02,-.41816406E-02
-14934.111,-.74214830E-02,-.41816406E-02
-14935.119,-.38068810E-01,-.28853498E-01
-14934.479,.98892577E-03,-.21704322E-02
-14934.479,.98892577E-03,-.21704322E-02
-14934.115,-.10919965E-01,-.38947337E-02
-14934.023,-.10177566E-01,-.57806749E-02
-14934.144,-.23772491E-01,-.18217637E-01
-14934.144,-.23772491E-01,-.18217637E-01
-14934.150,-.20608250E-01,-.72040082E-02
-14934.883,-.45019137E-01,-.23490441E-01
-14934.883,-.45019137E-01,-.23490441E-01
-14939.992,.76090888E-02,.23409775E-01
-14941.264,.45291261E-01,.33804287E-01
-14934.169,-.31266480E-01,-.20050715E-01
-14935.781,.70283462E-02,.10804471E-01
-14934.620,-.37581443E-01,-.15838495E-01
-14935.446,.63786129E-02,-.61283465E-02
-14934.045,-.23639726E-01,-.10102876E-01
-14934.337,-.16199613E-02,-.32099883E-02
-14934.337,-.16199613E-02,-.32099883E-02
-14933.898,-.22255117E-01,-.12941827E-01
-14934.860,-.44807866E-01,-.24063543E-01
-14934.860,-.44807866E-01,-.24063543E-01
-14934.138,-.32139780E-01,-.18950831E-01
-14934.985,-.36344070E-01,-.12085011E-01
-14935.951,-.55925686E-01,-.28990403E-01
-14934.468,-.28647445E-01,-.96303915E-02
-14934.511,-.25355417E-01,-.72206557E-02
-14935.314,-.46189852E-01,-.30453855E-01
-14934.029,-.24017895E-01,-.16961034E-01
-14934.029,-.24017895E-01,-.16961034E-01
-14935.353,-.18177096E-01,.67137500E-03
-14935.453,.13645929E-01,.75076802E-02
-14934.972,-.28216328E-01,-.64559002E-02
-14934.972,-.28216328E-01,-.64559002E-02
-14934.290,-.39655332E-02,-.61796796E-02
-14934.287,-.34579018E-01,-.21409583E-01
-14935.347,-.36725804E-01,-.29720628E-01
-14935.347,-.36725804E-01,-.29720628E-01
-14935.347,-.36725804E-01,-.29720628E-01
-14935.347,-.36725804E-01,-.29720628E-01
-14936.447,.23186342E-01,.64350430E-02
-14935.775,.11676962E-01,-.30304932E-02
-14934.006,-.28345186E-01,-.16568418E-01
-14934.496,-.15572006E-01,-.16812078E-01
-14933.923,-.19362353E-01,-.13265040E-01
-14933.914,-.19316058E-01,-.98411164E-02
-14933.914,-.19316058E-01,-.98411164E-02
-14935.318,.84031512E-02,-.32758060E-02
-14933.984,-.26277153E-01,-.13262822E-01
-14933.984,-.26277153E-01,-.13262822E-01
-14935.149,.10339474E-01,.13867896E-02
-14935.346,-.46546708E-01,-.19416085E-01
-14934.599,.81600663E-03,.21316112E-02
-14936.743,.26434072E-01,.13433536E-01
-14935.908,.76765450E-02,-.74052389E-02
-14934.998,-.29958025E-01,-.74358395E-02
-14934.998,-.29958025E-01,-.74358395E-02
-14936.509,.19855394E-02,.12541568E-01
-14934.009,-.28457192E-01,-.15415042E-01
-14934.009,-.28457192E-01,-.15415042E-01
-14935.572,-.43536397E-01,-.32118526E-01
-14934.937,-.12595112E-01,-.17445692E-01
-14934.581,-.36263999E-01,-.14891165E-01
-14933.957,-.20718464E-01,-.96287280E-02
-14933.957,-.20718464E-01,-.96287280E-02
-14934.506,.97946823E-04,.10094788E-02
-14934.506,.97946823E-04,.10094788E-02
-14934.518,-.12280942E-01,-.14981058E-01
-14934.518,-.12280942E-01,-.14981058E-01
-14934.287,-.17233625E-01,-.44234079E-02
-14934.576,-.39735843E-01,-.19057207E-01
-14935.444,-.47221220E-01,-.19436611E-01
-14934.557,-.19302924E-01,-.19178075E-01
-14934.281,-.31126342E-01,-.21517095E-01
-14934.160,-.56918980E-02,-.39414474E-02
-14934.160,-.56918980E-02,-.39414474E-02
-14934.265,-.94759473E-02,-.19049630E-02
-14934.965,.25216114E-02,-.65406176E-02
-14934.965,.25216114E-02,-.65406176E-02
-14934.476,-.11720786E-01,-.89094907E-03
-14934.476,-.11720786E-01,-.89094907E-03
-14934.217,-.25533637E-01,-.19529017E-01
-14933.986,-.12387281E-01,-.63936475E-02
-14934.839,-.42437830E-01,-.19196183E-01
-14935.801,.84196267E-02,-.62431013E-02
-14934.288,-.28308295E-02,-.21550602E-02
-14934.288,-.28308295E-02,-.21550602E-02
-14934.300,-.24042185E-02,-.36329527E-02
-14933.915,-.15044915E-01,-.90717319E-02
-14933.915,-.15044915E-01,-.90717319E-02
-14934.118,-.69038176E-02,-.60706304E-02
-14935.039,.91193912E-02,.43640459E-02
-14935.039,.91193912E-02,.43640459E-02
-14934.611,-.38808635E-01,-.17297700E-01
-14934.101,-.16437937E-01,-.14242002E-01
-14934.099,-.14597659E-01,-.50600038E-02
-14934.308,-.35947257E-01,-.20972629E-01
-14934.308,-.35947257E-01,-.20972629E-01
-14935.207,-.18873883E-01,-.22082214E-01
-14940.658,-.67343375E-01,-.18296254E-01
-14934.084,-.82487524E-02,-.45901739E-02
-14935.381,-.29625769E-01,-.55041822E-02
-14934.221,-.81612010E-02,-.21547297E-02
-14934.050,-.20846506E-01,-.83709024E-02
-14935.591,-.43854509E-01,-.15097683E-01
-14934.399,-.26302996E-01,-.85616542E-02
-14934.997,-.39995843E-01,-.15149517E-01
-14934.971,-.42779038E-01,-.28061263E-01
-14934.080,-.23868923E-01,-.98257530E-02
-14935.602,-.39125751E-01,-.31477209E-01
-14934.570,-.40755867E-01,-.21680982E-01
-14934.478,-.31251154E-01,-.11451136E-01
-14935.371,.12992214E-01,.66925263E-02
-14934.328,-.13925835E-01,-.27411465E-02
-14934.328,-.13925835E-01,-.27411465E-02
-14934.466,-.29025986E-02,.93504106E-03
-14934.466,-.29025986E-02,.93504106E-03
-14934.466,-.29025986E-02,.93504106E-03
-14934.294,-.23718116E-01,-.19490450E-01
-14936.684,-.56749494E-01,-.22443810E-01
-14936.254,.13079743E-01,.13775196E-01
-14933.973,-.14100676E-01,-.10838820E-01
-14933.973,-.14100676E-01,-.10838820E-01
-14934.624,-.25611231E-01,-.66922703E-02
-14934.624,-.25611231E-01,-.66922703E-02
-14934.624,-.25611231E-01,-.66922703E-02
-14934.624,-.25611231E-01,-.66922703E-02
-14933.950,-.25604311E-01,-.15474725E-01
-14935.079,.37918062E-02,-.61639432E-02
-14934.342,-.35264845E-01,-.16628069E-01
-14935.961,-.45418659E-01,-.14636711E-01
-14937.076,.28901574E-01,.15319972E-01
-14934.149,-.78458019E-02,-.31806452E-02
-14934.209,-.45358941E-02,-.49066599E-02
-14935.768,-.51633944E-01,-.32759344E-01
-14934.371,-.41235588E-02,-.14503891E-03
-14933.917,-.16225979E-01,-.11071747E-01
-14934.353,-.29807431E-01,-.21958666E-01
-14934.143,-.27522252E-01,-.11698894E-01
-14935.187,-.39126352E-01,-.29421910E-01
-14933.979,-.25146447E-01,-.12293666E-01
-14934.467,-.31332930E-01,-.23241724E-01
-14934.156,-.30401410E-01,-.19873166E-01
-14934.079,-.14321023E-01,-.12652209E-01
-14934.079,-.14321023E-01,-.12652209E-01
-14934.493,-.28356829E-01,-.22600388E-01
-14934.493,-.28356829E-01,-.22600388E-01
-14933.887,-.19004493E-01,-.11112176E-01
-14935.559,.14386945E-01,.85136358E-02
-14933.930,-.14220420E-01,-.83044046E-02
-14936.322,.12013091E-01,.13999982E-01
-14935.801,-.26498947E-02,.85747451E-02
-14935.822,-.47517638E-01,-.33724428E-01
-14934.247,-.11773529E-01,-.12631583E-01
-14934.247,-.11773529E-01,-.12631583E-01
-14934.308,-.31186373E-01,-.21810809E-01
-14934.054,-.23567113E-01,-.17150226E-01
-14934.054,-.23567113E-01,-.17150226E-01
-14934.244,-.44849735E-02,-.59415816E-02
-14934.893,-.44779308E-01,-.25954176E-01
-14934.693,-.32802700E-01,-.25177297E-01
-14935.276,-.48181032E-01,-.29325338E-01
-14935.698,-.51491525E-01,-.32176197E-01
-14933.999,-.13129197E-01,-.61169035E-02
-14933.906,-.22657951E-01,-.13747205E-01
-14934.628,-.40659000E-01,-.19639240E-01
-14934.039,-.15553165E-01,-.12972329E-01
-14935.696,-.53655265E-01,-.29401144E-01
-14934.260,-.28382792E-01,-.11118393E-01
-14934.260,-.28382792E-01,-.11118393E-01
-14934.490,-.39521648E-01,-.21712046E-01
-14934.377,-.28390287E-01,-.10129214E-01
-14934.238,-.19528434E-01,-.58912939E-02
-14934.042,-.11810676E-01,-.10215564E-01
